count ,ip,serial,issue,days_left,end_date
0,10.212.31.132,ONETFKABDJGAG07FS,P1,4,8/12/2025
1,10.214.6.100,PIEMFKABDJFJG0AN0,J12,14,8/22/2025
2,10.211.23.28,YNAHFKABDJFJF07DA,J12,0,8/7/2025
3,10.212.29.134,ONETFKABDJGAG04KA,P1,2,8/10/2025
4,10.211.26.66,YNAHFKABDJGAE1BFG,J12,8,8/16/2025
5,10.214.6.42,PIEMFKABDJFJG0GG9,J12,14,8/22/2025
6,10.212.14.226,ONETFKABDJFJH0CVR,P1,0,8/8/2025
7,10.212.24.219,ONETFKABDJGAG04FN,J22,10,8/17/2025
8,10.212.22.158,THQGFKABDJGJI064D,J12,12,8/20/2025
9,10.211.30.6,PIEMFKABDJFJG08PA,J12,0,7/7/2025
10,10.212.30.70,ONETFKABDJGAG09CS,J22,4,8/12/2025
11,10.212.13.69,ONETFKABDJGAG04NV,P1,2,8/10/2025
12,10.211.28.30,PIEMFKABDJFJG018R,J12,0,7/8/2025
13,10.211.6.187,YNAHFKABDJGAE1BTK,J12,5,8/13/2025
14,10.211.5.77,THQGFKABEJABH009Y,J12,184,2/8/2026
15,10.212.15.70,ONETFKABDJGAG09R7,P1,0,8/8/2025
16,10.211.0.99,THQGFKABEJAAC073C,P1,185,2/9/2026
17,10.214.27.153,THQGFMABDJHBC01JV,P1,37,9/14/2025
18,10.211.10.144,YNAHFKABEJAAD00ZK,J12,0,
19,10.212.21.76,ONETFKABDJGAG06G3,J22,11,8/19/2025
20,10.212.28.101,ONETFKABDJGAG06PY,J22,2,8/10/2025
21,10.212.20.126,YNAHFKABDJGAE16BG,P1,0,8/8/2025
22,10.212.16.253,ONETFKABDJFJH0BSA,J22,0,8/7/2025
23,10.212.16.207,YNAHFKABDJGAE120H,P1,1,8/9/2025
24,10.211.26.190,PIEMFKABDJFJG08FC,J12,0,7/8/2025
25,10.212.29.30,ONETFKABDJGAG01SW,J22,2,8/10/2025
26,10.212.8.233,ONETFKABDJFJH02BX,P1,0,8/7/2025
27,10.211.23.156,ONETFKABDJGAG02NW,J12,3,8/11/2025
28,10.212.20.93,PIEMFKABDJGAB00BD,J22,14,8/22/2025
29,10.211.28.20,PIEMFKABDJFJG0949,J12,0,7/7/2025
30,10.214.31.164,THQGFMABDJHJA0290,P1,37,9/14/2025
31,10.214.10.146,ONETFKABDJFJH0DL8,J12,2,8/10/2025
32,10.212.13.72,YNAHFKABDJGAE14YM,P1,0,8/8/2025
33,10.211.28.117,PIEMFKABDJFJG08LZ,J12,0,7/8/2025
34,10.212.8.4,PIEMFKABDJFJG0ADX,J22,0,7/9/2025
35,10.212.15.115,NGSBFKABDJFJG0CFJ,P1,0,8/8/2025
36,10.211.4.4,THQGFKABEJAAC04AS,J12,186,2/10/2026
37,10.212.19.171,YNAHFKABDJGAE1E17,P1,5,8/13/2025
38,10.211.24.61,PIEMFKABDJFJG09XJ,J12,0,7/8/2025
39,10.213.21.137,YNAHFKABDJGAE1EB2,J12,5,8/13/2025
40,10.212.26.67,ONETFKABDJGAG02VC,P1,3,8/11/2025
41,10.212.24.183,ONETFKABDJGAG0EE1,P1,4,8/12/2025
42,10.211.15.67,THQGFKABEJABH008P,J12,184,2/8/2026
