ip,model,serial,issue,days_left,end_date,
10.221.3.146,Antminer_S21_Pro,YNAHFKUBDJGAE1KC4,P1,10,8/21/2025,B31S1
10.221.6.34,Antminer_S21_Pro,THQGFKUBDJFJF0NTV,P1,11,8/22/2025,B31S2
10.222.15.45,Antminer_S21_XP,THQGFMUBDJHBC08KT,P1,71,10/21/2025,B32S4
10.222.25.145,Antminer_S21_XP,YNAHFMUBDJIJC01Y2,P1,49,9/29/2025,B32S7
10.222.28.125,Antminer_S21_XP,YNAHFMUBDJIJC04EP,P1,71,10/21/2025,B32S8
10.222.28.129,Antminer_S21_XP,THQGFMUBDJHBC07R7,P1,71,10/21/2025,B32S8
10.222.28.133,Antminer_S21_XP,YNAHFMUBDJIJC05T8,P1,70,10/20/2025,B32S8
10.222.28.145,Antminer_S21_XP,YNAHFMUBDJIJC0410,P1,71,10/21/2025,B32S8
10.222.28.241,Antminer_S21_XP,THQGFMUBDJHBC02V7,P1,35,9/15/2025,B32S8
10.222.28.63,Antminer_S21_XP,THQGFMUBDJHBC04LY,P1,68,10/18/2025,B32S8
10.222.28.84,Antminer_S21_XP,THQGFMUBDJHBC04W3,P1,68,10/18/2025,B32S8
10.222.29.150,Antminer_S21_XP,NGSBFMUBDJIAJ01JL,P1,49,9/29/2025,B32S8
10.222.31.23,Antminer_S21_XP,YNAHFMUBDJIJC051S,P1,71,10/21/2025,B32S8
10.222.31.27,Antminer_S21_XP,PIEMFMUBDJHBH03RG,P1,54,10/4/2025,B32S8
10.222.31.93,Antminer_S21_XP,PIEMFMUBDJHBH00N2,P1,54,10/4/2025,B32S8
10.223.0.214,Antminer_S21_XP,THQGFMUBDJHBC03AB,P1,42,9/22/2025,B33S1
10.223.0.238,Antminer_S21_XP,THQGFMUBDJHBC02FP,P1,42,9/22/2025,B33S1
10.223.0.98,Antminer_S21_XP,NGSBFMUBDJIAJ008E,P1,47,9/27/2025,B33S1
10.223.1.12,Antminer_S21_XP,THQGFMUBDJHBC036B,P1,42,9/22/2025,B33S1
10.223.1.27,Antminer_S21_XP,THQGFMUBDJHBC038E,P1,42,9/22/2025,B33S1
10.223.1.49,Antminer_S21_XP,THQGFMUBDJHBC034G,P1,42,9/22/2025,B33S1
